institution_id,district_tr,institution_name,institution_type,address,icu,n#_beds,ambulance,neighborhood_tr,latitude,longitude,district_eng,private_or_public,related_to_htourism,institution_type_eng,institution_type_abbrv_tr,institution_type_abbrv_eng,care_type
1,Kadıköy,Marmara Veteriner Kliniği,Veteriner,Bahçeler Sk. No:3 FENERYOLU/KADIKÖY,,0.0,No,Feneryolu,40.979645135000055,29.05070181700006,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
2,Fatih,İstanbul Üniversitesi-Cerrahpaşa Tip Fakültesi Kulak Burun Boğaz Ana Bilim Dali,Poliklinik,İÜ Cerrahpaşa Tip Fakültesi Yolu No: CERRAHPAŞA/FATİH,Yes,60.0,,Cerrahpaşa,41.00354611200004,28.94229438600007,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
3,Tuzla,Özel Saradent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,İnönü Cad. ŞİFA/TUZLA,,,,Şifa,40.82681499000006,29.355745385000034,Tuzla,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
4,Kadıköy,Atalay Veteriner Kliniği,Veteriner,Sinan Ercan Cad. No:6 19 MAYIS/KADIKÖY,,0.0,No,19 Mayis,40.969397835000045,29.08575158100007,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
5,Kadıköy,Medipol Üniversitesi Hastanesi Kadiköy,Üniversite Hastanesi,Lambaci Sk. No:2/1 KOŞUYOLU/KADIKÖY,Yes,72.0,Yes,Koşuyolu,41.00466311300004,29.034347841000056,Kadikoy,Public,No,University Hospital,Üniversite H.,University H.,hospital level
6,Fatih,Fatih 9 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Selim Sabit Sk. MOLLA GÜRANİ/FATİH,No,0.0,,Molla Gürani,41.014479006000045,28.93787182700004,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
7,Fatih,Özel Fatih Nur Polikliniği,Poliklinik,Hasan Fehmipaşa Cad. No:39A DERVİŞ ALİ/FATİH,No,0.0,,Derviş Ali,41.026209910000034,28.94002534800007,Fatih,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
8,Gaziosmanpaşa,Karadeniz Aile Sağliği Merkezi,Aile Sağliği Merkezi,Menderes Cad. No:20 KARADENİZ/GAZİOSMANPAŞA,No,0.0,,Karadeniz,41.08238507900006,28.88256163500006,Gaziosmanpasa,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
9,Üsküdar,Özel Denteuropa Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Kisikli Cad. No:25/2 ALTUNİZADE/ÜSKÜDAR,No,0.0,No,Altunizade,41.023729906000035,29.04231156900005,Uskudar,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
10,Fatih,Özel Ultra Emar İleri Görüntüleme ve Tani Merkezi,Görüntüleme Merkezi,Köprülü Mehmetpaşa Sk. No:19A ŞEHREMİNİ/FATİH,,,,Şehremini,41.01442393000008,28.93348637200006,Fatih,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
11,Adalar,Adalar 1 Nolu Acil Yardim İstasyonu,Acil Yardim İstasyonu,Gülistan Cad. No:45 MADEN/ADALAR,No,3.0,Yes,Maden,40.87467383200004,29.13274603700006,Adalar,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
12,Sarıyer,Sariyer İsmail Akgün Devlet Hastanesi Ek Hizmet Binasi,Hastane,Sariyer Deresi Sk. No:16 MERKEZ/SARIYER,Yes,,No,Sariyer Merkez,41.169163688000026,29.056599102000064,Sariyer,Public,No,Hospital,Hastane,Hospital,hospital level
13,Arnavutköy,Hadimköy Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çarşamba Sk. No:1 HADIMKÖY/ARNAVUTKÖY,No,0.0,,Hadimköy,41.15615740000004,28.624629421000066,Arnavutkoy,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
15,Sarıyer,Gümüşdere Aile Sağliği Merkezi,Aile Sağliği Merkezi,Sancaktar Sk. No:7 GÜMÜŞDERE/SARIYER,No,0.0,,Gümüşdere,41.236665619000064,28.983905436000047,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
16,Fatih,Haseki Eğitim ve Araştirma Hastanesi Fatih Semt Polikliniği,Poliklinik,Fevzipaşa Cad. No:96 ATİKALİ/FATİH,No,0.0,,Atikali,41.022795390000056,28.944581231000033,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
17,Silivri,Merkez Veteriner Kliniği,Veteriner,Haydar Arslan Sk. No:25 PİRİ MEHMET PAŞA/SİLİVRİ,,0.0,No,Piri Mehmet Paşa,41.07587487800004,28.242870952000036,Silivri,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
18,Sarıyer,Diş Hekimi Bilal Kapali Yoldaş,Muayenehane,Nuripaşa Cad. No:109 FERAHEVLER/SARIYER,,,,Ferahevler,41.128416555000065,29.04786351200005,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
22,Fatih,İstanbul Eğitim ve Araştirma Hastanesi,Hastane,Org. Abdurrahman Nâfiz Gürman Cad. No:22/1 CERRAHPAŞA/FATİH,Yes,507.0,No,Cerrahpaşa,41.00307391800004,28.938300323000078,Fatih,Public,No,Hospital,Hastane,Hospital,hospital level
24,Fatih,Türk Kizilayi Fatih Şubesi,Kizilay,Kiztaşi Cad. No:23 İSKENDERPAŞA/FATİH,,,No,İskenderpaşa,41.01614603100006,28.950806443000037,Fatih,Public,No,Turkish Red Crescent,Kızılay,Turkish Red Crescent,not specified
25,Fatih,İstanbul Üniversitesi Mediko Sosyal Merkezi,Poliklinik,Süleymaniye Cad. No:15 SÜLEYMANİYE/FATİH,Yes,0.0,,Süleymaniye,41.01420995700005,28.96192372400003,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
26,Fatih,İBB Fatih Hayvan Hastanesi,Veteriner,Su Yolu Sk. No:1 ZEYREK/FATİH,,0.0,No,Zeyrek,41.016744440000025,28.95371646800004,Fatih,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
28,Silivri,Silivri Ana Çocuk Sağliği ve Aile Planlama Merkezi,Ana Çocuk Sağliği ve Aile Planlama Merkezi,Gün Sk. No:7 MİMAR SİNAN/SİLİVRİ,No,0.0,,Mimar Sinan,41.08763881300007,28.24310865200005,Silivri,Public,No,Planned Parenthood Center,Aile Planlama M.,Planned Parenthood C.,low level
29,Çatalca,İhsaniye Zehra Akdoğan Aile Sağliği Merkezi,Aile Sağliği Merkezi,Sağlik Ocaği Cad. No:1 İHSANİYE/ÇATALCA,No,0.0,,İhsaniye,41.25199050500004,28.36504144600008,Catalca,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
30,Sarıyer,Bahçeköy Veteriner Kliniği,Veteriner,Mareşal Fevzi Çakmak Cad. No:4 KEMER/SARIYER,,0.0,No,Bahçeköy Kemer,41.16950234900003,28.99076315700006,Sariyer,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
31,Sarıyer,Özel Büyükdere Kadin Hastaliklari Merkezi,Kadin Hastaliklari ve Sağliği Merkezi,Çayirbaşi Cad. No:95 BÜYÜKDERE/SARIYER,,3.0,,Büyükdere,41.159206160000046,29.03853025700005,Sariyer,Private,No,Gynecology and Obstetrics Clinic,Kadın Hastalıkları ve Sağlığı M.,Gynecology and Obstetrics C.,not specified
32,Çatalca,Uzmanlar Veteriner Kliniği,Veteriner,Atatürk Cad. No:32 FERHATPAŞA/ÇATALCA,,0.0,No,Ferhatpaşa,41.140741708000064,28.463822709000052,Catalca,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
33,Sarıyer,PTT Evleri Aile Sağliği Merkezi,Aile Sağliği Merkezi,Camii.. Sk. No:17/1 PTT EVLERİ/SARIYER,No,0.0,,Ptt Evleri,41.15566516100006,29.02305938800004,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
34,Silivri,Silivri 5 Nolu Cezaevi Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çanta Cad. No:162C SEMİZKUMLAR/SİLİVRİ,No,0.0,,Semizkumlar,41.08706288500007,28.14920465000006,Silivri,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
35,Sarıyer,Özel Denta Vita Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Meserburnu Cad. No:105 MERKEZ/SARIYER,,,,Sariyer Merkez,41.16734782200007,29.057112684000057,Sariyer,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
37,Küçükçekmece,Happy Vet Veteriner Kliniği,Veteriner,Kirlangiç Sk. No:6 ATAKENT/KÜÇÜKÇEKMECE,,0.0,No,Atakent,41.05705365200004,28.786469135000058,Kucukcekmece,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
38,Kadıköy,Anaconda Veteriner Kliniği,Veteriner,Atatürk Cad. No:34 SAHRAYICEDİT/KADIKÖY,,0.0,No,Sahrayicedit,40.98110536400003,29.082053736000038,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
39,Küçükçekmece,Zeynebiye Aile Sağliği Merkezi,Aile Sağliği Merkezi,Zeynebiye Cad. No:26 HALKALI MERKEZ/KÜÇÜKÇEKMECE,No,0.0,,Halkali Merkez,41.03391342500004,28.80325556400004,Kucukcekmece,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
40,Kadıköy,Sahil Veteriner Hizmetleri,Veteriner,Hamiyet Yüceses Sk. No:4 SUADİYE/KADIKÖY,,0.0,No,Suadiye,40.96107223800004,29.076008203000068,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
41,Beyoğlu,Özel Universal Hospital Grup İtalyan Giovanni Alberto Agnelli Hastanesi,Hastane,Defterdar Yokuşu No:17 FİRUZAÐA/BEYOÐLU,Yes,,Yes,Firuzağa,41.028781518000066,28.98143307900005,Beyoglu,Private,No,Hospital,Hastane,Hospital,hospital level
42,Tuzla,Tuzla Merkez Aile Sağliği Merkezi,Aile Sağliği Merkezi,İstasyon Cad. No:71 POSTANE/TUZLA,Yes,5.0,,Postane,40.82119848900004,29.30831433700007,Tuzla,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
43,Şile,Şile Ana Çocuk Sağliği ve Aile Planlama Merkezi,Ana Çocuk Sağliği ve Aile Planlama Merkezi,Ayazma Cad. ÇAVUŞ/ŞİLE,,,No,Çavuş,41.17327560200005,29.607081359000066,Sile,Public,No,Planned Parenthood Center,Aile Planlama M.,Planned Parenthood C.,low level
44,Kartal,Kartal Koşuyolu Yüksek İhtisas Eğitim ve Araştirma Hastanesi,Hastane,Lütfi Kirdar Cad. No: CEVİZLİ/KARTAL,Yes,465.0,No,Cevizli,40.91582445900008,29.17170435600008,Kartal,Public,No,Hospital,Hastane,Hospital,hospital level
45,Şişli,Özel İac İstanbul Aesthetic Tip Merkezi,Tip Merkezi,Keskin Kalem Sk. No:1 ESENTEPE/ŞİŞLİ,Yes,8.0,No,Esentepe,41.06918643200004,29.00658198800005,Sisli,Private,Yes,Medical Center,Tıp M.,Medical C.,hospital level
46,Arnavutköy,Özel Boğazköy Şifa Sağlik Evi,Sağlik Evi,Okul Yolu Sk. No:85 YUNUS EMRE/ARNAVUTKÖY,,,,Yunus Emre,41.184925901000035,28.760444834000047,Arnavutkoy,Public,No,Primary Health Care Center,Sağlık Evi,Primary Health Care C.,not specified
47,Silivri,Büyük Çavuşlu Dr. Atakan Karanfil Aile Sağliği Merkezi,Aile Sağliği Merkezi,Güven Sk. No:55 BÜYÜK ÇAVUŞLU/SİLİVRİ,No,0.0,,Büyük Çavuşlu,41.239097549000064,28.06435751800007,Silivri,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
48,Sarıyer,75. Yil Kilyos Kumköy Aile Sağliği Merkezi,Aile Sağliği Merkezi,Kale Cad. No:5 KUMKÖY/SARIYER,No,0.0,,Kumköy (Kilyos),41.24565653400003,29.037030605000037,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
50,Fatih,İstanbul Üniversitesi Tip Fakültesi Cerrahi Tip Bilimleri,Poliklinik,Turgut Özal Millet Cad. No:118R TOPKAPI/FATİH,No,750.0,,Topkapi,41.01723579200007,28.93443848800007,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
51,Silivri,Silivri 2 Nolu Cezaevi Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çanta Cad. No:162B SEMİZKUMLAR/SİLİVRİ,No,0.0,,Semizkumlar,41.086335771000044,28.15317974100003,Silivri,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
52,Sarıyer,Genel Cerrah Op. Dr. Mehmet Bayraktar,Muayenehane,Yeni Mahalle Cad. No:9 MERKEZ/SARIYER,,,,Sariyer Merkez,41.16834661400003,29.057081139000047,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
53,Sarıyer,Sariyer Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Araba Yolu Cad. No:33 CUMHURİYET/SARIYER,No,0.0,,Cumhuriyet,41.144826730000034,29.031494768000073,Sariyer,Public,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
54,Silivri,Özgün Yaşli Bakimevi,Bakim Evi,Çelebi Sk. No:5 YENİ/SİLİVRİ,,54.0,No,Yeni,41.07849176100007,28.25653343500005,Silivri,Public,No,Nursing House,Bakımevi,Nursing House,not specified
55,Silivri,Silivri Devlet Hastanesi Selimpaşa Ek Hizmet Binasi,Hastane,202. Cad. No:6 SELİMPAŞA/SİLİVRİ,Yes,35.0,Yes,Selimpaşa,41.05433252000006,28.379360538000068,Silivri,Public,No,Hospital,Hastane,Hospital,hospital level
56,Sarıyer,İstinye Devlet Hastanesi Diyaliz Merkezi,Diyaliz Merkezi,Doktor Nurettin Cankat Sk. No:54 İSTİNYE/SARIYER,Yes,,Yes,İstinye,41.11488279600008,29.055491351000057,Sariyer,Public,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
57,Fatih,Özel Çapadent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Turgut Özal Millet Cad. No:135 ŞEHREMİNİ/FATİH,,,,Şehremini,41.01530084600006,28.932564154000033,Fatih,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
58,Fatih,İstanbul Haseki Eğitim ve Araştirma Hastanesi 29 Mayis Ek Hizmet Binasi,Hastane,29 Mayis Sk. No:3 HIRKA-İ ŞERİF/FATİH,Yes,125.0,No,Hirka-İ Şerif,41.02046470000005,28.937513955000046,Fatih,Public,No,Hospital,Hastane,Hospital,hospital level
59,Fatih,İstanbul Üniversitesi-Cerrahpaşa Tip Fakültesi Nöroloji Bölümü,Poliklinik,Koca Mustafapaşa Cad. No:53/2 CERRAHPAŞA/FATİH,No,,,Cerrahpaşa,41.00514597800003,28.940268605000032,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
60,Sarıyer,Özel Acibadem Tip Merkezi Zekeriyaköy,Tip Merkezi,Kardelen Cad. No:2 ZEKERİYAKÖY/SARIYER,No,,No,Zekeriyaköy,41.20556121300007,29.04183134400006,Sariyer,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
61,Sarıyer,Sariyer 5 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Zekeriyaköy Cad. No:19 ZEKERİYAKÖY/SARIYER,No,0.0,,Zekeriyaköy,41.19687663400003,29.02891331700005,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
62,Beşiktaş,Özel Memorial Tip Merkezi Etiler,Tip Merkezi,Peker Sk. No:38 NİSBETİYE/BEŞİKTAŞ,No,,No,Nisbetiye,41.076124107000055,29.021072595000078,Besiktas,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
63,Beşiktaş,Animal Doctors Veteriner Kliniği,Veteriner,Muallim Naci Cad. No:49 ORTAKÖY/BEŞİKTAŞ,,0.0,No,Ortaköy,41.048995684000026,29.02786454400007,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
64,Fatih,Özel Paşa Dent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Meyvaci Sk. No:1 SİLİVRİKAPI/FATİH,,,,Silivrikapi,41.004168209000056,28.928650756000025,Fatih,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
65,Gaziosmanpaşa,Özel Dentoria Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Cumhuriyet Meydani No:2B MERKEZ/GAZİOSMANPAŞA,,,,Merkez,41.05795299000005,28.91241058400004,Gaziosmanpasa,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
66,Küçükçekmece,Diş Hekimi Firdevs Saraç,Muayenehane,Hürriyet Cad. No:80 CENNET/KÜÇÜKÇEKMECE,,,,Cennet,40.992499556000034,28.77935833700008,Kucukcekmece,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
67,Kağıthane,Özel Sena Ağiz ve Diş Sağliği Polikliniği,Poliklinik,Sultan Selim Cad. No:1 SULTAN SELİM/KAÐITHANE,No,0.0,,Sultan Selim,41.09091100000006,29.000536964000048,Kagithane,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
68,Üsküdar,Cumhuriyet Aile Sağliği Merkezi,Aile Sağliği Merkezi,Hekimoğlu Sk. No:10 CUMHURİYET/ÜSKÜDAR,No,0.0,,Cumhuriyet,41.012415062000066,29.085184080000033,Uskudar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
69,Kadıköy,İstanbul Medeniyet Üniversitesi Göztepe Eğitim ve Araştirma Hastanesi Merdivenköy Polikliniği,Poliklinik,Ressam Salih Erimez Cad. No:21 MERDİVENKÖY/KADIKÖY,No,0.0,,Merdivenköy,40.98572448300007,29.065839051000072,Kadikoy,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
73,Şişli,Özel İstanbul Cerrahi Hastanesi Fulya,Hastane,Ferah Sk. No:22 TEŞVİKİYE/ŞİŞLİ,Yes,48.0,Yes,Teşvikiye,41.05562822100006,28.997872432000065,Sisli,Private,No,Hospital,Hastane,Hospital,hospital level
74,Küçükçekmece,Tepeüstü Verem Savaş Dispanseri,Verem Savaş Dispanseri,İnönü Cad. No:86/1G YENİ MAHALLE/KÜÇÜKÇEKMECE,,0.0,No,Yeni Mahalle,40.99755689700004,28.777293318000034,Kucukcekmece,Public,No,Tuberculosis Dispensary,Verem Savaş Disp.,Tuberculosis Dispensary,specialized
75,Kadıköy,Üsküdar 16 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Cenap Şahabettin Sk. No:97 KOŞUYOLU/KADIKÖY,No,0.0,,Koşuyolu,41.00717795400004,29.03384496900003,Kadikoy,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
76,Esenyurt,Özel Elitium Cerrahi Tip Merkezi Esenyurt,Tip Merkezi,Kemal Paşa Cad. No:25 İNÖNÜ/ESENYURT,Yes,,No,İnönü,41.023454531000034,28.69030881100008,Esenyurt,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
77,Kartal,Türk Kizilayi Marmara Bölge Afet Yönetim Müdürlügü,Kizilay,Ferah Sk. No: ESENTEPE/KARTAL,,,No,Esentepe,40.90800743300008,29.18972396300007,Kartal,Public,No,Turkish Red Crescent,Kızılay,Turkish Red Crescent,not specified
78,Üsküdar,Özel Üsküdar Anadolu Hastanesi,Hastane,Halk Cad. No:8 AZİZ MAHMUT HÜDAYİ/ÜSKÜDAR,Yes,20.0,Yes,Aziz Mahmut Hüdayi,41.021445259000075,29.015832488000054,Uskudar,Private,No,Hospital,Hastane,Hospital,hospital level
79,Fatih,İstanbul Üniversitesi Tip Fakültesi Dermatoloji Anabilim Dali,Poliklinik,Turgut Özal Millet Cad. No:118C TOPKAPI/FATİH,No,19.0,,Topkapi,41.01642914800004,28.93266195200005,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
80,Fatih,Fatih 12 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Kocasinan Cad. No:88 HIRKA-İ ŞERİF/FATİH,No,0.0,,Hirka-İ Şerif,41.01984805600006,28.94001176200004,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
82,Bahçelievler,Diş Hekimi Hakan Gürsoy,Muayenehane,Mimar Sinan Cad. No:109 CUMHURİYET/BAHÇELİEVLER,,,,Cumhuriyet,41.014560000000074,28.857394000000053,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
84,Bahçelievler,Diş Hekimi Gülsüm Özsağdiç,Muayenehane,Mustafa Kemalpaşa Cad. No:2 SİYAVUŞPAŞA/BAHÇELİEVLER,,,,Siyavuşpaşa,41.00436300200005,28.85252371400003,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
85,Şişli,Özel Açik Emar Görüntüleme Merkezi,Görüntüleme Merkezi,Abdi İpekçi Cad. No:40 HARBİYE/ŞİŞLİ,,,,Harbiye,41.04841575500007,28.992806769000026,Sisli,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
86,Sarıyer,Diş Hekimi Hamit Şevket İnce,Muayenehane,Kekik Sk. No:13 MERKEZ/SARIYER,,,,Sariyer Merkez,41.16953285200003,29.05591979800005,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
88,Beşiktaş,Özel Estethica Levent Hastanesi,Hastane,Yenisülün Sk. No:13 LEVENT/BEŞİKTAŞ,Yes,0.0,No,Levent,41.086068139000076,29.017860733000077,Besiktas,Private,Yes,Hospital,Hastane,Hospital,hospital level
92,Gaziosmanpaşa,Gaziosmanpaşa Taksim Eğitim ve Araştirma Hastanesi Aliya İzzetbegoviç Semt Polikliniği,Poliklinik,Salihpaşa Cad. No:40-42B MERKEZ/GAZİOSMANPAŞA,No,0.0,,Merkez,41.05625857200005,28.912235753000058,Gaziosmanpasa,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
93,Küçükçekmece,Küçükçekmece 3 Nolu Acil Yardim İstasyonu,Acil Yardim İstasyonu,Hakan Cad. No:44 İNÖNÜ/KÜÇÜKÇEKMECE,No,3.0,Yes,İnönü,41.02600321500006,28.797325414000053,Kucukcekmece,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
94,Üsküdar,İstanbul Sultan Abdülhamid Eğitim ve Araştirma Hastanesi Diyaliz Merkezi ve Periton Merkezi,Diyaliz Merkezi,Burhan Felek Cad. No:20 SELİMİYE/ÜSKÜDAR,Yes,,Yes,Selimiye,41.00196609900007,29.020020055000032,Uskudar,Public,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
95,Üsküdar,Mehmet Orhan Erdağ Aile Sağliği Merkezi,Aile Sağliği Merkezi,Yurtsever Sk. No:4 BULGURLU/ÜSKÜDAR,No,0.0,,Bulgurlu,41.02164463200006,29.08057568600003,Uskudar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
96,Üsküdar,Dr. Siyami Ersek Göğüs ve Kalp Damar Cerrahisi Eğitim ve Araştirma Hastanesi,Hastane,Tibbiye Cad. No:25/2 SELİMİYE/ÜSKÜDAR,Yes,464.0,No,Selimiye,41.00379663700004,29.023411190000054,Uskudar,Public,No,Hospital,Hastane,Hospital,hospital level
97,Kadıköy,Özel Unimed Polikliniği,Poliklinik,Bağdat Cad. No:2 CADDEBOSTAN/KADIKÖY,No,0.0,,Caddebostan,40.96957163100007,29.064196835000075,Kadikoy,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
98,Beşiktaş,Ada Veteriner Kliniği,Veteriner,Sülün Sk. No:14 LEVENT/BEŞİKTAŞ,,0.0,No,Levent,41.07735656500006,29.019492709000076,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
99,Beşiktaş,Sariyer 3 Nolu Acil Yardim İstasyonu,Acil Yardim İstasyonu,Şehitlikdergahi Sk. No:36D BEBEK/BEŞİKTAŞ,No,3.0,Yes,Bebek,41.08408200000007,29.053407001000036,Besiktas,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
101,Fatih,Özel Redline Kardiyoloji Merkezi,Klinikler,Turgut Özal Millet Cad. No:113 ŞEHREMİNİ/FATİH,,0.0,No,Şehremini,41.01454560800004,28.93417152800004,Fatih,Public,No,General Clinic,Klinikler,General Clinic,specialized
102,Şişli,Özel Anatomica Tip Merkezi,Tip Merkezi,Mevlüt Pehlivan Sk. No:19 FULYA/ŞİŞLİ,Yes,7.0,No,Fulya,41.06389052200007,29.001126182000064,Sisli,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
103,Fatih,Özel Onur Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Mihçilar Cad. No:58 ZEYREK/FATİH,,,,Zeyrek,41.018988744000076,28.95295015100004,Fatih,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
104,Fatih,Kocamustafa Paşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Haci Kadin Cad. No:15 KOCA MUSTAFAPAŞA/FATİH,No,0.0,,Koca Mustafapaşa,41.00268393700003,28.93032522200008,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
105,Fatih,Küçük Mustafa Paşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Müstantik Cad. No:2/1 YAVUZ SULTAN SELİM/FATİH,No,0.0,,Yavuz Sultan Selim,41.02548805200007,28.957340915000035,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
106,Fatih,Kasim Gürani Aile Sağliği Merkezi,Aile Sağliği Merkezi,Haci İsa Çikmazi No: AYVANSARAY/FATİH,No,0.0,,Ayvansaray,41.032640461000035,28.94367383800005,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
108,Fatih,Özel Çapa Hastanesi Diyaliz Merkezi,Diyaliz Merkezi,Necip Asim Sk. No:23 ŞEHREMİNİ/FATİH,,,Yes,Şehremini,41.01333621400005,28.93401492400005,Fatih,Private,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
110,Fatih,İmrahor Aile Sağliği Merkezi,Aile Sağliği Merkezi,Atik Hamami Sk. No:15 KOCA MUSTAFAPAŞA/FATİH,No,0.0,,Koca Mustafapaşa,40.99642655600008,28.92898766800005,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
114,Bahçelievler,Diş Hekimi Ayten Demirci Güleç,Muayenehane,Çamlik Cad. No:7 SİYAVUŞPAŞA/BAHÇELİEVLER,,,,Siyavuşpaşa,40.99922347200004,28.857559562000066,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
115,Bahçelievler,İç Hastaliklari Uzmani Dr. Günel Yilmaz,Muayenehane,İzzettin Çalişlar Cad. No:28 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.00191803000007,28.870380186000038,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
