institution_id,district_tr,institution_name,institution_type,address,icu,n#_beds,ambulance,neighborhood_tr,latitude,longitude,district_eng,private_or_public,related_to_htourism,institution_type_eng,institution_type_abbrv_tr,institution_type_abbrv_eng,care_type
929,Esenyurt,Mehmet Remzi Önecek Aile Sağliği Merkezi,Aile Sağliği Merkezi,1408. Sk. No:21 ÇINAR/ESENYURT,No,0.0,,Çinar,41.04064495100005,28.671355148000032,Esenyurt,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
931,Pendik,Marmara Üniversitesi Pendik Eğitim ve Araştirma Hastanesi,Hastane,Muhsin Yazicioğlu Cad. No:10 FEVZİ ÇAKMAK/PENDİK,Yes,647.0,No,Fevzi Çakmak,40.88604776900007,29.262699608000048,Pendik,Public,No,Hospital,Hastane,Hospital,hospital level
934,Bahçelievler,Bahçelievler Devlet Hastanesi,Hastane,Ordu Cad. No:1-7 KOCASİNAN MERKEZ/BAHÇELİEVLER,Yes,198.0,Yes,Kocasinan Merkez,41.006048814000046,28.84455675400005,Bahcelievler,Public,No,Hospital,Hastane,Hospital,hospital level
935,Küçükçekmece,Mehmet Akif Ersoy Göğüs Kalp Damar Cerrahisi ve Eğitim Araştirma Hastanesi,Hastane,Turgut Özal Bulvari No:11/2 İSTASYON/KÜÇÜKÇEKMECE,Yes,260.0,Yes,İstasyon,41.03377446500008,28.77764049900003,Kucukcekmece,Public,No,Hospital,Hastane,Hospital,hospital level
936,Bahçelievler,Bahçelievler 6 Nolu Acil Yardim İstasyonu,Acil Yardim İstasyonu,Prof. Dr. M.Nevzat Pisak Cad. No:4/21 YENİBOSNA MERKEZ/BAHÇELİEVLER,No,3.0,Yes,Yenibosna Merkez,41.02027544400005,28.820086885000023,Bahcelievler,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
937,Bağcılar,Bağcilar Merkez Aile Sağliği Merkezi,Aile Sağliği Merkezi,706. Sk. No:20 MERKEZ/BAÐCILAR,No,0.0,,Merkez,41.03197937200008,28.860439929000048,Bagcilar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
938,Esenler,Birlik Aile Sağliği Merkezi,Aile Sağliği Merkezi,791. Sk. No:4 BİRLİK/ESENLER,No,0.0,,Birlik,41.049354791000034,28.86751086400005,Esenler,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
939,Bahçelievler,Diş Hekimi Cüneyt Evirgen,Muayenehane,Neyire Neyir Sk. No:35 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.001168000000064,28.870933000000036,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
940,Bahçelievler,Diş Hekimi Filiz Kavuşturan,Muayenehane,Yildirim Beyazit Cad. No:2 FEVZİ ÇAKMAK/BAHÇELİEVLER,,,,Fevzi Çakmak,40.99935500000004,28.83427100000005,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
942,Beyoğlu,Özel Mavi Polikliniği,Poliklinik,Yildirim Beyazit Sk. No:3 PİYALEPAŞA/BEYOÐLU,No,0.0,,Piyalepaşa,41.052450297000064,28.96026359500007,Beyoglu,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
943,Kadıköy,Pets Veteriner Merkezi,Veteriner,Rüştiye Sk. No:4/1 ZÜHTÜPAŞA/KADIKÖY,,0.0,No,Zühtüpaşa,40.98307917900007,29.03960637800003,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
944,Zeytinburnu,Özel Sante Plus Hastanesi,Hastane,Prof. Dr. Turan Güneş Cad. No:4 ÇIRPICI/ZEYTİNBURNU,Yes,78.0,Yes,Çirpici,40.99845397400003,28.89427896800004,Zeytinburnu,Private,No,Hospital,Hastane,Hospital,hospital level
945,Üsküdar,Pazarbaşi Aile Sağliği Merkezi,Aile Sağliği Merkezi,Şahbulut Sk. No:12 VALİDE-İ ATİK/ÜSKÜDAR,No,0.0,,Valide-İ Atik,41.018669817000045,29.031092904000047,Uskudar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
946,Kadıköy,İstanbul Medeniyet Üniversitesi Göztepe Eğitim ve Araştirma Hastanesi Hemodiyaliz ve Periton Merkezi,Diyaliz Merkezi,Fahrettin Kerim Gökay Cad. No:161/4 EÐİTİM/KADIKÖY,Yes,,Yes,Eğitim,40.98614857000007,29.05685891200005,Kadikoy,Public,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
947,Şişli,Özel Şişli Ekinci Teşhis Polikliniği,Poliklinik,Abide-i Hürriyet Cad. No:187 MERKEZ/ŞİŞLİ,No,0.0,,Merkez,41.063438500000075,28.987533615000075,Sisli,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
948,Beyoğlu,Piyalepaşa Ağaçlaralti Aile Sağliği Merkezi,Aile Sağliği Merkezi,Piyale Havuzu Sk. No:1 KAPTANPAŞA/BEYOÐLU,No,0.0,,Kaptanpaşa,41.045182673000056,28.96387814900004,Beyoglu,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
949,Esenyurt,Esenyurt Açsap Merkezi Ana Çocuk Sağliği ve Aile Planlama Merkezi,Ana Çocuk Sağliği ve Aile Planlama Merkezi,1131. Sk. No:1 BAÐLARÇEŞME/ESENYURT,No,0.0,,Bağlarçeşme,41.03929238300003,28.67713473900005,Esenyurt,Public,No,Planned Parenthood Center,Aile Planlama M.,Planned Parenthood C.,low level
950,Kağıthane,Hamidiye Semt Aile Sağliği Merkezi,Aile Sağliği Merkezi,Arife Sk. No:4 HAMİDİYE/KAÐITHANE,No,0.0,,Hamidiye,41.09173457100008,28.977864683000067,Kagithane,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
951,Küçükçekmece,Özel Sefa-Dent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Sultan Murat Cad. No:115 SULTAN MURAT/KÜÇÜKÇEKMECE,,,,Sultan Murat,41.00233244100008,28.788094305000072,Kucukcekmece,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
952,Şişli,Kurtuluş Veteriner Kliniği,Veteriner,Kurtuluş Cad. No:46 DUATEPE/ŞİŞLİ,,0.0,No,Duatepe,41.051307895000036,28.983236404000024,Sisli,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
